epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,447.955,1.46068,1.85694,0.00585,0.73738,0.60257,0.69428,0.44103,1.32053,1.20638,0.00715,0.00998934,0.00332978,0.00998934,0.00332978,0.00998934,0.00332978,0.00998934,0.00332978
2,800.55,1.47417,1.30707,0.00593,0.7537,0.6363,0.72782,0.45392,1.36614,1.1425,0.00761,0.0195936,0.00653118,0.0195936,0.00653118,0.0195936,0.00653118,0.0195936,0.00653118
3,1118.08,1.5277,1.2568,0.00621,0.75876,0.63388,0.726,0.44439,1.42538,1.13647,0.00806,0.0288018,0.00960059,0.0288018,0.00960059,0.0288018,0.00960059,0.0288018,0.00960059
4,1423.81,1.54745,1.24461,0.00635,0.76399,0.63059,0.72663,0.44979,1.40431,1.12987,0.00806,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1727.4,1.52589,1.20796,0.00626,0.76266,0.64347,0.73718,0.45898,1.40597,1.08218,0.00788,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,2033.73,1.51518,1.18479,0.00613,0.77946,0.64778,0.74691,0.46724,1.38759,1.06443,0.00771,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2338.78,1.50769,1.16964,0.00602,0.78426,0.65671,0.75718,0.47674,1.3638,1.05058,0.00754,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2645.74,1.49508,1.15296,0.00602,0.77873,0.66479,0.7577,0.47915,1.3587,1.0334,0.00751,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2950.15,1.48421,1.14059,0.00592,0.7841,0.66462,0.76028,0.47873,1.36649,1.03816,0.00744,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,3256.44,1.4729,1.12988,0.00589,0.7905,0.66655,0.76552,0.48178,1.37102,1.02219,0.00749,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,3569.12,1.46687,1.12708,0.00584,0.785,0.66759,0.76631,0.48904,1.33455,1.02935,0.00716,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,3880.15,1.46231,1.10811,0.00577,0.79652,0.6708,0.77292,0.49495,1.33762,0.98642,0.00716,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,4183.6,1.45819,1.10243,0.0057,0.79411,0.673,0.77198,0.49551,1.32101,1.00233,0.00716,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,4489.48,1.45374,1.09403,0.00568,0.79885,0.68215,0.77996,0.50132,1.32653,0.97417,0.00707,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,4792.98,1.45123,1.09112,0.00563,0.80449,0.67404,0.77758,0.50205,1.31433,0.98169,0.00697,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,5098.32,1.44348,1.08128,0.0056,0.80184,0.68513,0.78365,0.5063,1.31272,0.97964,0.00693,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,5401.11,1.43426,1.07233,0.00557,0.80056,0.68654,0.78667,0.51223,1.29342,0.9548,0.00685,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,5702.26,1.41969,1.06677,0.00562,0.80238,0.68955,0.7874,0.51206,1.29681,0.95605,0.00681,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
