epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,269,1.81595,1.82976,0.00747,0.70229,0.54637,0.63172,0.35492,1.60233,1.32685,0.00878,0.00999305,0.00333102,0.00999305,0.00333102,0.00999305,0.00333102,0.00999305,0.00333102
2,472.587,1.78741,1.3971,0.00724,0.73093,0.56227,0.65496,0.37315,1.62935,1.23026,0.009,0.0195972,0.00653239,0.0195972,0.00653239,0.0195972,0.00653239,0.0195972,0.00653239
3,654.02,1.8044,1.35204,0.00742,0.73116,0.56178,0.65173,0.35908,1.71152,1.22624,0.0098,0.0288053,0.00960177,0.0288053,0.00960177,0.0288053,0.00960177,0.0288053,0.00960177
4,834.908,1.82256,1.35014,0.00749,0.73748,0.57359,0.66627,0.37531,1.65201,1.22874,0.00938,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1010.74,1.79953,1.31828,0.00735,0.73954,0.56629,0.66538,0.38007,1.6298,1.21556,0.00913,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1187.75,1.78263,1.29377,0.00724,0.75263,0.58862,0.68428,0.39786,1.6059,1.15389,0.00897,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1362.52,1.76703,1.2764,0.00718,0.76659,0.58447,0.6876,0.39978,1.59518,1.16962,0.00884,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1780.74,1.76024,1.26086,0.0071,0.75587,0.59312,0.69172,0.3997,1.60507,1.13723,0.00886,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2273.06,1.74734,1.24565,0.00703,0.75841,0.60069,0.69833,0.40992,1.58484,1.1168,0.00875,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2573.73,1.74244,1.23852,0.00694,0.77185,0.60738,0.70758,0.42017,1.55351,1.09636,0.00845,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,5278.74,1.73676,1.23254,0.00691,0.77323,0.61072,0.71049,0.4214,1.55341,1.09358,0.00845,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,5628.48,1.72456,1.2199,0.00687,0.77292,0.61248,0.71349,0.42685,1.53839,1.08045,0.00833,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,5838.36,1.73075,1.21406,0.0068,0.77726,0.61118,0.71573,0.4301,1.53147,1.08006,0.00824,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,6043.1,1.71561,1.20665,0.0068,0.78008,0.61769,0.72135,0.4338,1.52106,1.07469,0.00812,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,6261.6,1.71695,1.20183,0.00675,0.78378,0.61959,0.72309,0.4352,1.52245,1.06458,0.00818,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,6469.04,1.70013,1.19203,0.00674,0.78689,0.62397,0.72759,0.44005,1.5159,1.04473,0.00808,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,6672.63,1.69917,1.18776,0.00672,0.78327,0.6297,0.7297,0.44217,1.50406,1.05202,0.00798,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,6870.16,1.69528,1.1846,0.00671,0.78216,0.62506,0.72716,0.44131,1.50957,1.04255,0.00801,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,7069.82,1.69231,1.17983,0.00662,0.7887,0.62987,0.73214,0.44705,1.49521,1.03719,0.00792,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,7281.37,1.68872,1.17062,0.0066,0.78882,0.63108,0.73354,0.4492,1.49166,1.02943,0.00788,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,7486.55,1.68037,1.16807,0.00658,0.78866,0.6335,0.7359,0.45008,1.49077,1.02535,0.00787,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,7695.22,1.67891,1.16221,0.00658,0.79325,0.63304,0.73763,0.4519,1.48598,1.02505,0.0078,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,7897.34,1.68177,1.15973,0.00653,0.79465,0.63509,0.73899,0.45333,1.48226,1.02288,0.00776,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,8112.85,1.67266,1.15831,0.00653,0.79205,0.6352,0.73894,0.45481,1.47872,1.01437,0.00773,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,8320.31,1.67048,1.15333,0.00647,0.79592,0.63706,0.74102,0.45706,1.47536,1.01198,0.00772,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,8528.56,1.6593,1.14538,0.00646,0.79668,0.63841,0.74322,0.4583,1.47234,1.00752,0.0077,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,8752.91,1.65763,1.14369,0.00644,0.79567,0.64064,0.7443,0.45949,1.47021,1.00598,0.00767,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,8963.83,1.65241,1.13804,0.00641,0.79915,0.63964,0.74503,0.46052,1.46933,1.00168,0.00766,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,9167.32,1.65863,1.13775,0.00636,0.79759,0.6414,0.74553,0.46162,1.4653,0.99991,0.00763,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,9366.57,1.64441,1.12888,0.00636,0.79812,0.64172,0.74568,0.4623,1.46308,0.99834,0.0076,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,9565.8,1.64341,1.1255,0.00633,0.79912,0.64079,0.74597,0.46317,1.46029,0.9973,0.00759,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,9775.27,1.64153,1.1233,0.00635,0.7998,0.64217,0.74659,0.46405,1.45761,0.99603,0.00756,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,9985.18,1.63822,1.11725,0.00627,0.79934,0.64396,0.74732,0.46458,1.45692,0.99446,0.00755,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,10194.3,1.63292,1.11706,0.00623,0.79914,0.64415,0.7479,0.46511,1.45609,0.99266,0.00754,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,10404.8,1.62787,1.10914,0.00621,0.79815,0.64612,0.74907,0.46617,1.45389,0.99015,0.00752,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,10609.5,1.6209,1.10491,0.00621,0.79794,0.6475,0.74983,0.46702,1.4521,0.98815,0.00751,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,10812.1,1.62314,1.10716,0.00618,0.79878,0.64843,0.75041,0.46764,1.45091,0.98696,0.0075,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,11018.1,1.6184,1.09903,0.00614,0.79846,0.64884,0.75075,0.46793,1.44976,0.98685,0.00749,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,11226.8,1.61731,1.09564,0.0061,0.80043,0.6486,0.75122,0.4684,1.44951,0.98466,0.00749,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,11436.2,1.6069,1.08879,0.00609,0.8024,0.64777,0.75151,0.46894,1.4484,0.98319,0.00748,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,11634.3,1.55146,1.04674,0.00661,0.80217,0.64851,0.75178,0.46936,1.44779,0.98135,0.00747,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,11831.5,1.5426,1.03499,0.00653,0.80151,0.6484,0.75186,0.46971,1.44707,0.98044,0.00747,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,12021.1,1.53557,1.02943,0.0065,0.80319,0.64729,0.752,0.46996,1.44666,0.97994,0.00746,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,12221,1.52926,1.02395,0.00645,0.80288,0.6476,0.75183,0.46979,1.44665,0.97972,0.00746,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,12409.4,1.52739,1.01847,0.00641,0.80273,0.64784,0.75221,0.47001,1.44611,0.97914,0.00745,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,12589.4,1.51911,1.01401,0.00639,0.80318,0.64809,0.75232,0.4702,1.44614,0.97813,0.00745,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,12767.7,1.51393,1.00737,0.00634,0.80385,0.64822,0.75238,0.4703,1.44623,0.97729,0.00745,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,12955,1.5122,1.00289,0.00631,0.80391,0.64842,0.75251,0.47054,1.44578,0.97704,0.00745,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,13154.8,1.5048,0.99828,0.00628,0.8047,0.64831,0.75253,0.47055,1.44592,0.97675,0.00745,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,13348.7,1.50353,0.99537,0.00626,0.80475,0.64813,0.75257,0.47071,1.44556,0.97654,0.00745,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
