epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1202.1,1.64874,1.69048,0.00792,0.73711,0.54203,0.64076,0.37037,1.5719,1.24814,0.00926,0.00999816,0.00333272,0.00999816,0.00333272,0.00999816,0.00333272,0.00999816,0.00333272
2,2011.63,1.68798,1.38702,0.0083,0.74428,0.56861,0.66473,0.38885,1.57432,1.18722,0.00938,0.0196022,0.00653407,0.0196022,0.00653407,0.0196022,0.00653407,0.0196022,0.00653407
3,2734.81,1.74254,1.42762,0.00881,0.74424,0.56903,0.66607,0.3892,1.57421,1.19265,0.00947,0.0288102,0.00960341,0.0288102,0.00960341,0.0288102,0.00960341,0.0288102,0.00960341
4,3660.61,1.75522,1.42712,0.00894,0.75335,0.58293,0.6796,0.40172,1.55393,1.15821,0.00919,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,4388.61,1.72444,1.38268,0.00865,0.76355,0.59245,0.69152,0.41553,1.52313,1.12282,0.0089,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,5088.57,1.70589,1.35254,0.0085,0.76828,0.59698,0.69837,0.42151,1.51052,1.104,0.00874,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,5800.26,1.68083,1.33245,0.0084,0.77114,0.59777,0.70222,0.4278,1.49384,1.09217,0.00859,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,6826.9,1.67136,1.31734,0.00824,0.77143,0.60372,0.70655,0.43248,1.48361,1.08093,0.00849,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,7503.56,1.66889,1.30429,0.00818,0.77003,0.60607,0.7081,0.43509,1.47836,1.07384,0.00843,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,8203.68,1.6603,1.29456,0.00814,0.77334,0.6071,0.71006,0.43748,1.47164,1.07083,0.00837,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,8913.16,1.65015,1.28495,0.00807,0.77511,0.60827,0.71134,0.43933,1.46669,1.06842,0.00833,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,9697.98,1.64648,1.27668,0.00804,0.77628,0.6084,0.71208,0.4403,1.46254,1.06758,0.00829,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,10575.5,1.64634,1.27398,0.00797,0.77674,0.60887,0.71268,0.44135,1.45986,1.06573,0.00827,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,11270.8,1.63701,1.26715,0.00797,0.77828,0.6084,0.71336,0.44247,1.45761,1.06275,0.00825,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,11979.1,1.63655,1.26281,0.00791,0.77675,0.61009,0.71415,0.44353,1.45427,1.06191,0.00822,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,12668.1,1.63176,1.25724,0.0079,0.77819,0.60947,0.71467,0.44419,1.45215,1.06076,0.0082,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,13801.6,1.62878,1.25296,0.00787,0.77633,0.61134,0.71536,0.44518,1.44932,1.05936,0.00817,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,14498.4,1.62404,1.24351,0.00782,0.77731,0.61141,0.71581,0.44594,1.44686,1.05857,0.00815,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,15194.3,1.61827,1.23793,0.00782,0.77766,0.6119,0.71629,0.44651,1.44528,1.05666,0.00813,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,15902.1,1.61589,1.23524,0.00779,0.77918,0.61118,0.71698,0.44738,1.44329,1.05538,0.00812,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,16802.6,1.611,1.23146,0.00775,0.77948,0.61262,0.71773,0.44807,1.44205,1.05333,0.00811,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,17516.2,1.60923,1.22738,0.00769,0.78012,0.61283,0.71817,0.44868,1.44054,1.05168,0.00809,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,18197.6,1.60896,1.2229,0.00765,0.78126,0.61296,0.71971,0.44942,1.43946,1.04937,0.00808,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,18905.9,1.60353,1.21807,0.00763,0.78134,0.61417,0.72043,0.45021,1.4375,1.04814,0.00806,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,19583.9,1.59949,1.21202,0.00761,0.78185,0.6147,0.72128,0.45106,1.43545,1.04621,0.00804,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,20532.1,1.59263,1.20775,0.00761,0.78254,0.61502,0.72197,0.45212,1.4339,1.04327,0.00803,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,21223.6,1.58874,1.204,0.00756,0.78387,0.61551,0.72265,0.45311,1.43229,1.04109,0.008,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,21900.8,1.58948,1.20027,0.00748,0.78487,0.61508,0.72302,0.45339,1.43063,1.04001,0.00798,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,22578.7,1.58163,1.19536,0.00752,0.78401,0.61559,0.72374,0.45422,1.42896,1.03809,0.00796,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,23254.5,1.58234,1.19229,0.00745,0.7836,0.61705,0.72463,0.45521,1.42764,1.03562,0.00795,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,24075.8,1.57163,1.18448,0.00744,0.78553,0.61694,0.72537,0.4559,1.42584,1.03437,0.00792,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,24769.2,1.57005,1.18068,0.00742,0.78427,0.61822,0.72587,0.45684,1.4243,1.03275,0.00791,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,25453.5,1.56885,1.17321,0.00735,0.78412,0.61927,0.72662,0.45772,1.42292,1.0308,0.0079,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,26132.8,1.56171,1.1678,0.00732,0.78646,0.61856,0.72716,0.4584,1.42183,1.02872,0.00788,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,26806.7,1.55999,1.16573,0.00731,0.78707,0.61869,0.72768,0.45894,1.421,1.02783,0.00788,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,28008.3,1.55282,1.15784,0.00726,0.78725,0.61966,0.72843,0.4597,1.41976,1.02619,0.00787,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,28692.3,1.54659,1.15283,0.00723,0.78806,0.62006,0.72877,0.46006,1.41891,1.0261,0.00785,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,29381.4,1.54492,1.15001,0.00721,0.78784,0.62108,0.72911,0.46054,1.41753,1.02561,0.00784,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,30065.6,1.53914,1.14381,0.00712,0.78966,0.62104,0.72982,0.46129,1.4161,1.02421,0.00782,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,30995.9,1.53387,1.13893,0.00709,0.79122,0.62075,0.73023,0.46179,1.41499,1.02418,0.00781,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,31660.4,1.4794,1.07453,0.00776,0.79256,0.62046,0.73015,0.46227,1.41379,1.02549,0.00781,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,32320.6,1.4693,1.05945,0.00759,0.79238,0.62042,0.72993,0.46244,1.41265,1.02678,0.00779,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,33005.5,1.46119,1.0511,0.00753,0.79267,0.62,0.72998,0.4626,1.41225,1.02816,0.00778,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,33667.9,1.4539,1.04506,0.00745,0.79308,0.61973,0.73001,0.46284,1.41157,1.02798,0.00777,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,34993.4,1.4475,1.03467,0.00738,0.7934,0.61966,0.73019,0.46311,1.41119,1.02756,0.00777,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,35678.5,1.43828,1.02755,0.00731,0.79385,0.62007,0.73061,0.46366,1.41071,1.02619,0.00776,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,36362.2,1.43244,1.01623,0.00724,0.79364,0.62107,0.73115,0.4641,1.40996,1.02645,0.00775,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,37045.8,1.4262,1.00393,0.00715,0.79487,0.62143,0.73215,0.46471,1.40963,1.02391,0.00774,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,37856.7,1.41384,0.99591,0.00711,0.79459,0.62274,0.73272,0.4651,1.40933,1.02182,0.00773,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,38510.6,1.41017,0.99052,0.00703,0.79554,0.62333,0.7335,0.46567,1.40949,1.01911,0.00773,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
