epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1139.79,1.6313,1.69547,0.00817,0.72964,0.55476,0.64806,0.37886,1.50198,1.22862,0.01184,0.00999826,0.00333275,0.00999826,0.00333275,0.00999826,0.00333275,0.00999826,0.00333275
2,2007.23,1.66831,1.39254,0.00863,0.74112,0.56858,0.66598,0.39135,1.50065,1.18569,0.01203,0.0196023,0.0065341,0.0196023,0.0065341,0.0196023,0.0065341,0.0196023,0.0065341
3,3072.46,1.72668,1.43228,0.00919,0.74555,0.57367,0.67068,0.3959,1.497,1.18646,0.01206,0.0288103,0.00960344,0.0288103,0.00960344,0.0288103,0.00960344,0.0288103,0.00960344
4,3801.51,1.73865,1.43677,0.00932,0.7522,0.58487,0.68233,0.40718,1.47816,1.14522,0.01189,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,4522.05,1.7048,1.38975,0.00901,0.75702,0.59361,0.69204,0.41967,1.44652,1.11509,0.01136,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,5269.6,1.68495,1.35611,0.0088,0.76381,0.60132,0.70121,0.42877,1.42743,1.09063,0.01114,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,6470.85,1.66991,1.33813,0.00867,0.77089,0.60307,0.7056,0.43458,1.41683,1.07687,0.01098,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,7204.88,1.65358,1.31953,0.00859,0.76995,0.60611,0.70829,0.43788,1.40725,1.06905,0.01085,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,7932.98,1.6516,1.30856,0.00852,0.77023,0.61006,0.71122,0.44105,1.39979,1.06027,0.01078,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,8651.39,1.64395,1.29519,0.00841,0.76952,0.61275,0.71261,0.443,1.39534,1.05555,0.01072,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,9703.85,1.63296,1.29161,0.00839,0.7712,0.61182,0.71332,0.44443,1.39129,1.0535,0.01068,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,10452,1.63073,1.28144,0.00835,0.77013,0.61241,0.71412,0.44533,1.38802,1.05273,0.01063,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,11210.5,1.6269,1.27713,0.00831,0.7721,0.61125,0.7144,0.4467,1.38443,1.0511,0.01058,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,11927.7,1.62129,1.27188,0.00828,0.77116,0.61192,0.71471,0.44778,1.3801,1.0508,0.01052,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,12916.7,1.62191,1.26919,0.00822,0.77128,0.61246,0.71494,0.44859,1.37639,1.0505,0.01048,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,13656.5,1.61099,1.26214,0.0082,0.77246,0.61273,0.716,0.44961,1.37318,1.04916,0.01045,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,14370.8,1.61088,1.25735,0.00814,0.77368,0.6129,0.71653,0.45048,1.36998,1.04869,0.0104,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,15087.2,1.60351,1.25195,0.00812,0.77544,0.61273,0.71711,0.4512,1.36767,1.04742,0.01039,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,16189.8,1.60434,1.24444,0.00809,0.77495,0.61457,0.71816,0.45211,1.36558,1.0448,0.01035,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,16946,1.60081,1.24287,0.00806,0.77341,0.61608,0.71875,0.45283,1.36348,1.04264,0.0103,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,17693.2,1.59851,1.23574,0.00801,0.77316,0.61687,0.71939,0.45381,1.36144,1.04029,0.01027,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,18453.4,1.59178,1.23274,0.00802,0.77408,0.61732,0.71993,0.455,1.35934,1.03723,0.01024,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,19836.1,1.5882,1.22726,0.00799,0.77269,0.61859,0.72092,0.45621,1.35673,1.03534,0.0102,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,20623.7,1.58652,1.22437,0.00799,0.77438,0.61831,0.72128,0.45709,1.35548,1.03224,0.01021,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,21345.1,1.58497,1.22098,0.0079,0.77594,0.61746,0.72173,0.45776,1.35358,1.0294,0.01018,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,22055.5,1.57846,1.21494,0.00789,0.77602,0.61793,0.72284,0.45905,1.35105,1.02694,0.01014,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,23002.9,1.57444,1.20726,0.00787,0.77736,0.61861,0.72375,0.45998,1.34941,1.02448,0.01011,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,23704.6,1.56981,1.20588,0.00782,0.77877,0.61911,0.72492,0.46124,1.34708,1.02211,0.01007,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,24440.9,1.57042,1.20003,0.00777,0.78017,0.62047,0.726,0.46224,1.34611,1.01815,0.01006,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,25197.6,1.56429,1.19537,0.00775,0.78027,0.62121,0.72661,0.46314,1.34473,1.01487,0.01003,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,26468.8,1.56058,1.19358,0.00772,0.78256,0.62131,0.72772,0.4642,1.34333,1.01232,0.01001,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,27215.7,1.55577,1.18479,0.00768,0.78321,0.6219,0.72837,0.46501,1.34153,1.00985,0.00998,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
