epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,532.93,1.34235,1.22177,0.00521,0.80425,0.70446,0.79984,0.54293,1.18204,0.90675,0.00617,0.00998934,0.00332978,0.00998934,0.00332978,0.00998934,0.00332978,0.00998934,0.00332978
2,986.34,1.33325,1.03569,0.0052,0.78621,0.70086,0.78807,0.52223,1.23095,0.94731,0.00658,0.0195936,0.00653118,0.0195936,0.00653118,0.0195936,0.00653118,0.0195936,0.00653118
3,1390.99,1.39225,1.07266,0.00553,0.78706,0.68036,0.77706,0.50201,1.29059,0.99176,0.00713,0.0288018,0.00960059,0.0288018,0.00960059,0.0288018,0.00960059,0.0288018,0.00960059
4,1781.34,1.42188,1.09671,0.00572,0.78782,0.6814,0.77449,0.50553,1.2835,0.9837,0.00712,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,2165.87,1.39745,1.07713,0.00563,0.79636,0.6867,0.78639,0.51859,1.26106,0.94613,0.00685,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,2545.02,1.38755,1.05435,0.00549,0.79828,0.69601,0.79077,0.52223,1.25211,0.94145,0.00678,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2985.34,1.37598,1.0416,0.00537,0.79555,0.70275,0.79582,0.52973,1.23007,0.94278,0.00661,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,3366.74,1.36154,1.0251,0.00537,0.80547,0.70594,0.80256,0.53435,1.22242,0.925,0.00646,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,3752.95,1.34973,1.0082,0.00525,0.80799,0.70647,0.80391,0.53991,1.21658,0.89987,0.00647,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,4157.14,1.33924,0.99813,0.00521,0.8111,0.71236,0.80923,0.53799,1.23152,0.90363,0.00645,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,4549.47,1.33174,0.99016,0.00516,0.81177,0.71053,0.80815,0.54627,1.20189,0.89028,0.0063,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,4934.6,1.32833,0.97912,0.00511,0.8109,0.71198,0.81001,0.54709,1.20727,0.88274,0.00634,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,5313.98,1.32229,0.96621,0.00505,0.819,0.71811,0.81699,0.555,1.19105,0.86348,0.00618,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,5704.9,1.31483,0.959,0.005,0.81504,0.72472,0.81946,0.5567,1.19004,0.85892,0.0061,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,6117.52,1.31161,0.95919,0.00494,0.82267,0.71721,0.82003,0.56173,1.17639,0.85101,0.0061,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,6505.12,1.30256,0.9483,0.00491,0.81627,0.72678,0.82351,0.5639,1.1672,0.85365,0.00602,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,6894.33,1.29323,0.93561,0.00488,0.82191,0.72861,0.82451,0.56736,1.16394,0.83951,0.00595,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,7294.43,1.27973,0.93352,0.00492,0.82052,0.73165,0.82699,0.5675,1.16966,0.83512,0.00593,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,7682.19,1.28443,0.93017,0.00479,0.82389,0.73213,0.82743,0.56958,1.16105,0.83087,0.00587,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,8071.67,1.27836,0.92102,0.00477,0.82912,0.73223,0.83067,0.57268,1.15538,0.82494,0.00583,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,8449.76,1.27226,0.91223,0.00473,0.82712,0.73461,0.83017,0.57474,1.14833,0.82274,0.00577,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,8833.14,1.26832,0.90624,0.00475,0.83062,0.73561,0.83338,0.57567,1.14899,0.81775,0.00579,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,9216.07,1.25786,0.89809,0.00466,0.82851,0.73575,0.83377,0.57939,1.1366,0.8186,0.00568,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,9600.08,1.26035,0.89767,0.00462,0.82889,0.7407,0.83437,0.58179,1.13101,0.81256,0.00566,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,9988.92,1.2526,0.8913,0.00458,0.83212,0.74292,0.83875,0.58483,1.12864,0.80484,0.00563,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,10378.6,1.24384,0.8862,0.00461,0.83137,0.74137,0.83777,0.58433,1.1304,0.80409,0.00562,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,10762,1.24123,0.87926,0.00452,0.83588,0.74301,0.84006,0.58836,1.12223,0.79726,0.00557,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,11161.2,1.23481,0.8723,0.0045,0.83115,0.74597,0.84034,0.58836,1.12189,0.79815,0.00556,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,11550.8,1.23194,0.87123,0.00449,0.83363,0.74535,0.83951,0.58795,1.12073,0.80266,0.00554,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,11942.4,1.22191,0.86511,0.00448,0.83369,0.74941,0.8429,0.59146,1.1162,0.78977,0.0055,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,12324.6,1.21543,0.85682,0.00442,0.8343,0.74979,0.84317,0.59232,1.11354,0.78836,0.00551,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,12719.6,1.2156,0.85192,0.00439,0.83458,0.74891,0.8432,0.59307,1.11238,0.78298,0.00549,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,13103.7,1.20949,0.84183,0.00438,0.83804,0.74719,0.84396,0.59301,1.11355,0.78736,0.00548,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,13498.9,1.20678,0.83871,0.00433,0.83923,0.74848,0.84465,0.59441,1.10994,0.78333,0.00546,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,13889.5,1.20511,0.83366,0.0043,0.83672,0.75033,0.84502,0.59577,1.10648,0.78315,0.00544,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,14287.5,1.19826,0.82996,0.00427,0.83969,0.74914,0.84551,0.59592,1.10846,0.78062,0.00543,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,14670.4,1.18928,0.81819,0.00424,0.8395,0.75152,0.84654,0.5978,1.10408,0.77641,0.00541,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,15061.5,1.18556,0.81632,0.00422,0.84085,0.75081,0.84655,0.59741,1.10402,0.77714,0.00541,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,15466,1.18704,0.80962,0.00419,0.83783,0.75343,0.84622,0.59721,1.10382,0.7766,0.00541,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,15878.4,1.17393,0.79845,0.00415,0.83927,0.75308,0.84643,0.59824,1.10038,0.77576,0.00539,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,16255.9,1.12464,0.74578,0.00442,0.83911,0.7503,0.84484,0.59608,1.10466,0.78093,0.00541,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,16648.4,1.11533,0.73584,0.00438,0.83837,0.75196,0.84466,0.59537,1.10606,0.78159,0.00541,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,17020.8,1.10959,0.73068,0.00434,0.84096,0.74906,0.84385,0.59476,1.10495,0.78492,0.00541,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,17399,1.10352,0.72389,0.00431,0.84073,0.75047,0.84416,0.59507,1.10662,0.78214,0.00542,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,17773.4,1.09665,0.71609,0.00425,0.84139,0.74891,0.8437,0.59504,1.1063,0.78334,0.00542,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,18144.9,1.09615,0.71041,0.0042,0.84014,0.75094,0.8439,0.59555,1.10554,0.78234,0.00542,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,18668.2,1.08812,0.70119,0.00416,0.84029,0.75097,0.84428,0.59551,1.1058,0.78225,0.00543,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,19094,1.08407,0.69724,0.00414,0.83865,0.75182,0.84433,0.59562,1.10584,0.7826,0.00543,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,19474.1,1.07349,0.69151,0.00411,0.83953,0.75294,0.84445,0.59551,1.10609,0.78328,0.00543,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,19845.6,1.07542,0.68779,0.00406,0.83942,0.75272,0.84413,0.59554,1.10529,0.78414,0.00542,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
